# DG conservative solution coefficients
# nvar = 3
# ndof = 4
# nvol = 100
# x = x_center + jacobian*xi; basis_id uses Legendre P_(basis_id-1)
# columns: element_id basis_id x_center jacobian cons_1 ... cons_nvar
           1           1   4.9999999999905519E-003   4.9999999999905519E-003   1.0000000035087599        4.1516229555160674E-009   2.5000000122806600     
           1           2   4.9999999999905519E-003   4.9999999999905519E-003  -2.9823822339761353E-010  -3.5286051717586678E-010  -1.0438334880999435E-009
           1           3   4.9999999999905519E-003   4.9999999999905519E-003   6.3447876893597411E-012   7.5050565123799319E-012   2.2207251597722054E-011
           1           4   4.9999999999905519E-003   4.9999999999905519E-003  -4.4924004646904462E-014  -7.4811629477384089E-014  -1.5654166427912104E-013
           2           1   1.4999999999971737E-002   4.9999999999906335E-003   1.0000000029491889        3.4895311672737199E-009   2.5000000103221667     
           2           2   1.4999999999971737E-002   4.9999999999906335E-003  -2.6177472931289787E-010  -3.0970814493488229E-010  -9.1621017142246074E-010
           2           3   1.4999999999971737E-002   4.9999999999906335E-003   5.8508541446805160E-012   6.8384862524422913E-012   2.0479306098584132E-011
           2           4   1.4999999999971737E-002   4.9999999999906335E-003  -1.5694130361439916E-014  -1.0457057917053047E-013  -5.1701675113239845E-014
           3           1   2.4999999999952720E-002   4.9999999999903490E-003   1.0000000024594431        2.9100335458119436E-009   2.5000000086080605     
           3           2   2.4999999999952720E-002   4.9999999999903490E-003  -2.2836793495584746E-010  -2.7027411022850202E-010  -7.9929045556200853E-010
           3           3   2.4999999999952720E-002   4.9999999999903490E-003   5.4936530204314724E-012   6.0692338743897534E-012   1.9219694212006469E-011
           3           4   2.4999999999952720E-002   4.9999999999903490E-003   4.9891551890612370E-014  -1.7381103896806273E-013   1.6836326296689808E-013
           4           1   3.4999999999932467E-002   4.9999999999893966E-003   1.0000000020335036        2.4059124674633237E-009   2.5000000071172432     
           4           2   3.4999999999932467E-002   4.9999999999893966E-003  -1.9772858443621634E-010  -2.3458615134191859E-010  -6.9205000560723249E-010
           4           3   3.4999999999932467E-002   4.9999999999893966E-003   5.4213340306521382E-012   5.0047784531336157E-012   1.8987298434868821E-011
           4           4   3.4999999999932467E-002   4.9999999999893966E-003   9.8268573395715253E-014  -2.2711875854028291E-013   3.4403578455432674E-013
           5           1   4.4999999999910764E-002   4.9999999999888987E-003   1.0000000016656359        1.9702074916008068E-009   2.5000000058297362     
           5           2   4.4999999999910764E-002   4.9999999999888987E-003  -1.6922531802640533E-010  -2.0306461088635733E-010  -5.9228514684834264E-010
           5           3   4.4999999999910764E-002   4.9999999999888987E-003   5.8246291175628691E-012   3.4452512412018635E-012   2.0379282679934868E-011
           5           4   4.4999999999910764E-002   4.9999999999888987E-003  -2.2183543655558828E-013   1.5502725908438317E-013  -7.6833427077763593E-013
           6           1   5.4999999999889013E-002   4.9999999999893567E-003   1.0000000013505594        1.5961315334946811E-009   2.5000000047269690     
           6           2   5.4999999999889013E-002   4.9999999999893567E-003  -1.4147503083182797E-010  -1.7701618696869613E-010  -4.9516508898146780E-010
           6           3   5.4999999999889013E-002   4.9999999999893567E-003   6.1758932799869000E-012   1.9944629874730969E-012   2.1612633195327226E-011
           6           4   5.4999999999889013E-002   4.9999999999893567E-003  -2.3561365396255704E-012   2.6875309531707175E-012  -8.2522657686387120E-012
           7           1   6.4999999999869440E-002   4.9999999999910671E-003   1.0000000010834540        1.2769777818402940E-009   2.5000000037920809     
           7           2   6.4999999999869440E-002   4.9999999999910671E-003  -1.1167500603346047E-010  -1.5943738772122334E-010  -3.9086347593181126E-010
           7           3   6.4999999999869440E-002   4.9999999999910671E-003   2.5388866927465296E-012   5.3155556531328318E-012   8.8916402327886910E-012
           7           4   6.4999999999869440E-002   4.9999999999910671E-003  -1.1055004260047375E-011   1.2986325341222126E-011  -3.8694741941156563E-011
           8           1   7.4999999999852851E-002   4.9999999999923370E-003   1.0000000008600662        1.0060134818684640E-009   2.5000000030102312     
           8           2   7.4999999999852851E-002   4.9999999999923370E-003  -7.5089048546350768E-011  -1.5560166821408909E-010  -2.6280989823292638E-010
           8           3   7.4999999999852851E-002   4.9999999999923370E-003  -2.1763620677096465E-011   3.3147979841648822E-011  -7.6173665192452303E-011
           8           4   7.4999999999852851E-002   4.9999999999923370E-003  -4.0108357442990469E-011   4.7369537974652949E-011  -1.4037511656455517E-010
           9           1   8.4999999999837539E-002   4.9999999999923578E-003   1.0000000006767937        7.7641856101132300E-010   2.5000000023687869     
           9           2   8.4999999999837539E-002   4.9999999999923578E-003  -2.6039142611619972E-011  -1.7188253810668943E-010  -9.1135194268902510E-011
